start,end,text_name,new_match,original_match,translation,original,len_translation,len_original,len_diff
1129,1148,andreas.txt,(1129-1148),(1129-48),"The deed seemed miserable to Andrew, a people-staining crime impossible to abide — that one so innocent must quickly lose his life. That folk-hate was bold and trouble-hard— the troops trembled, proud and daring man-servants, in their desire for murder, they wished, by any means, to bruise the head of the boy-child, to destroy him with spears. God defended him, holy on height, from those heathenish folk. Andrew ordered the weapons of the men in the vanguard to melt away completely, much like wax, lest the shield-haters, those horrid opponents, harm the child with their panoply of blades.","Ne mihte earmsceapen are findan, freoðe æt þam folce, þe him feores wolde, ealdres geunnan. Hæfdon æglæcan sæcce gesohte. Sceolde sweordes ecg, scerp ond scurheard, of sceaðan folme, fyrmælum fag, feorh acsigan. ða þæt Andrea earmlic þuhte, þeodbealo þearlic to geðolianne, þæt he swa unscyldig ealdre sceolde lungre linnan. Wæs se leodhete þrist ond þrohtheard. þrymman sceocan, modige maguþegnas, morðres on luste, woldon æninga, ellenrofe, on þam hysebeorðre heafolan gescenan, garum agetan. Hine god forstod, halig of hehðo, hæðenum folce. Het wæpen wera wexe gelicost on þam orlege eall formeltan, þy læs scyldhatan sceððan mihton, egle ondsacan, ecga þryðum.",98,99,-1
1149,1154,andreas.txt,(1149-1154),(1149-54),"So he was released from that folk-hate, the young man from grief. Thanks be to God entirely, the Lord of Lords that gives judgment of every man, whoever wisely seeks his aid. There will always be eternal peace ready for those who can find it.","Swa wearð alysed of leodhete, geong of gyrne. Gode ealles þanc, dryhtna dryhtne, þæs ðe he dom gifeð gumena gehwylcum, þara þe geoce to him seceð mid snytrum. þær bið symle gearu freod unhwilen, þam þe hie findan cann.",45,39,6
1155,1167,andreas.txt,(1155-1167),(1155-67),"Then there was a war-cry in the cities of men, an army’s loud shout. The heralds cried out, signifying their meat-lack—they stood weary, captives of hunger. Their horned halls and wine-houses stood wasted: the warriors had no need for riches to enjoy in that bitter hour. The cunning-minded sat apart in consultation, meditating upon their miseries. There was no joy in their homeland for them. Then one man often asked the other: “Let no one conceal good lore that holds it in the pith of his prudence. Now the time is come, this threat extraordinary—there is now great need that we listen to the words of wisdom-fast men!”","þa wæs wop hæfen in wera burgum, hlud heriges cyrm. Hreopon friccan, mændon meteleaste, meðe stodon, hungre gehæfte. Hornsalu wunedon, weste winræced, welan ne benohton beornas to brucanne on þa bitran tid, gesæton searuþancle sundor to rune ermðu eahtigan. Næs him to eðle wynn. Fregn þa gelome freca oðerne: ""Ne hele se ðe hæbbe holde lare, on sefan snyttro! Nu is sæl cumen, þrea ormæte, is nu þearf mycel þæt we wisfæstra wordum hyran.""",108,74,34
1168,1183,andreas.txt,(1168-1183),(1168-83),"At that moment, before that multitude, a devil appeared, dark and uncomely, having an accursed shape. This dispenser of murder then began to inform against that holy man, the hell-hobbled designing malice, and he said by word: “Here has fared over the far wave, a certain nobleman within your city, a foreign man who I have heard named Andrew. He cut you closely when he led out from your pens more of man-kind than was appropriate. Now you can easily wreak grief-deeds in reply! Let the tracks of your weapons, iron hard-edged,give his life-house a close shave, his fated soul-hoard! Go forth boldly and humiliate this foe of men!”","þa for þære dugoðe deoful ætywde, wann ond wliteleas, hæfde weriges hiw. Ongan þa meldigan morþres brytta, hellehinca, þone halgan wer wiðerhycgende, ond þæt word gecwæð: ""Her is gefered ofer feorne weg æðelinga sum innan ceastre, ellþeodigra, þone ic Andreas nemnan herde. He eow neon gesceod ða he aferede of fæstenne manncynnes ma þonne gemet wære. Nu ge magon eaðe oncyðdæda wrecan on gewyrhtum. Lætað wæpnes spor iren ecgheard, ealdorgeard sceoran, fæges feorhhord. Gað fromlice þæt ge wiðerfeohtend wiges gehnægan.""",109,80,29
1184,1194,andreas.txt,(1184-1194),(1184-94),"Andrew then gave the devil a response: “Harumph! You boldly instruct these people, embolden them to battle! You know the torment of fire, hot in hell, and still you hasten this army, these foot-soldiers to the fight! You are guilty against God, the Deemer of Nations. Listen you devil’s dart, you multiply your misfortunes. The Almighty humbled you from on high, and cast you into darkness, where the King of Kings laid you in fetters, and ever after, those that knew the judgment of the Lord called you Satan.”","Him þa Andreas agef ondsware: ""Hwæt, ðu þristlice þeode lærest, bældest to beadowe! Wæst þe bæles cwealm, hatne in helle, ond þu here fysest, feðan to gefeohte. Eart ðu fag wið god, dugoða demend. Hwæt, ðu deofles stræl, icest þine yrmðo. ðe se ælmihtiga heanne gehnægde, ond on heolstor besceaf, þær þe cyninga cining clamme belegde, ond þe syððan a Satan nemdon, ða ðe dryhtnes a deman cuðon.""",89,68,21
1195,1205,andreas.txt,(1195-1205),(1195-1205),"Still the depraved one exhorted the people to the fight wordfully through the fiend’s craft: “Now you hear the enemy of heroes, the foe who has done the greatest harm to you all. That is Andrew, who strives with me alone with wrought words before this host of men.” When the sign was given to the city-dwellers, they leapt up, with an army’s war-bold cry, crowding the war-farer to the wall-gates, keen beneath their banners, with great courage to the flame-point of battle, with spears and shields.","ða gyt se wiðermeda wordum lærde folc to gefeohte, feondes cræfte: ""Nu ge gehyrað hæleða gewinnan, se ðyssum herige mæst hearma gefremede. ðæt is Andreas, se me on fliteð wordum wrætlicum for wera menigo."" ða wæs beacen boden burhsittendum. Ahleopon hildfrome heriges brehtme ond to weallgeatum wigend þrungon, cene under cumblum, corðre mycle to ðam orlege, ordum ond bordum.",87,59,28
1206,1218,andreas.txt,(1206-1218),(1206-18),"Then the Lord of Hosts spoke a word, the Measurer strong of might said to his loyal servant: “You must, Andrew, perform a courageous deed! Don’t conceal yourself from the multitude, but set your inner thoughts fast against these strong men! There is not much delay until the moment that the slaughter-cruel will lay you in torments, in cold bonds. Reveal yourself, harden your mind, confirm your heart, so that they can recognize my power in you. Those guilty of great vice cannot— nor will they be allowed to— bestow death unto your body-house against my grace, even though you may suffer stripes and wicked blows. I am dwelling with you.”","þa worde cwæð weoroda dryhten, meotud mihtum swið sægde his magoþegne: ""Scealt ðu, Andreas, ellen fremman! Ne mið ðu for menigo, ah þinne modsefan staðola wið strangum! Nis seo stund latu þæt þe wælreowe witum belecgaþ, cealdan clommum. Cyð þe sylfne, herd hige þinne, heortan staðola, þæt hie min on ðe mægen oncnawan. Ne magon hie ond ne moton ofer mine est þinne lichoman, lehtrum scyldige, deaðe gedælan, ðeah ðu drype þolige, mirce manslaga. Ic þe mid wunige.""",111,78,33
1093,1107,andreas.txt,(1093-1107),(1093-1107),"Then I heard that the people, the city-dwellers, were summoned together. Men came to hold council, a throng of war-farers, coming on horses, bold on their steeds, exulting in spears. When the entire nation was gathered together at the meeting-place, then they cast lots to decide amongst them who one among them should first offer his life unto the others for food-taking. They cast lots by hell-craft, reckoned between them with idolatry. Then the lot fell evenly upon one of the good old boys, one noted for his wisdom, an earl of the host, in the vanguard of the reavers. He was quickly bound after by fetter-chains, hopeless of life.","ða ic lungre gefrægn leode tosomne burgwaru bannan. Beornas comon, wiggendra þreat, wicgum gengan, on mearum modige, mæðelhegende, æscum dealle. þa wæs eall geador to þam þingstede þeod gesamnod. Leton him þa betweonum taan wisian hwylcne hira ærest oðrum sceolde to foddurþege feores ongyldan; hluton hellcræftum, hæðengildum teledon betwinum. ða se tan gehwearf efne ofer ænne ealdgesiða, se wæs uðweota eorla dugoðe, heriges on ore. Hraðe siððan wearð fetorwrasnum fæst, feores orwena.",110,72,38
1219,1227a,andreas.txt,(1219-1227a),(1219-27a),"VII.  After these words a measureless host came, shameful lore-smiths with a crowd of shield-bearers, all swollen-minded—they swiftly bore him out and bound the hands of the holy one after Andrew, the joy of noblemen, was revealed and they could see him with their own eyes, present and triumph-eager, there on the fruiting plain where so many craved that man, the glory of the people.","æfter þam wordum com werod unmæte, lyswe larsmeoðas, mid lindgecrode, bolgenmode; bæron ut hræðe ond þam halgan þær handa gebundon. Siþþan geypped wæs æðelinga wynn, ond hie andweardne eagum meahton gesion sigerofne, þær wæs sec manig on þam welwange wiges oflysted leoda duguðe.",65,43,22
950,959,andreas.txt,(950-959),(950-59),"“Now you, Andrew, must venture at once into the grip of the ferocious. Warfare is your lot, in hard sword-blows. Your carcass shall be doled wounds, your blood shall flow in a stream much like water. They will not be able to bestow your spirit death, though you will suffer stripes, the blows of the sinning. You will suffer sorely—do not let the force of the heathens move you, their grim spear-strife, so that you betray God, your Lord. Be eager for glory always!","Nu ðu, Andreas, scealt edre geneðan in gramra gripe. Is þe guð weotod, heardum heoruswengum scel þin hra dæled wundum weorðan, wættre geliccost faran flode blod. Hie þin feorh ne magon deaðe gedælan, þeh ðu drype ðolie, synnigra slege. ðu þæt sar aber; ne læt þe ahweorfan hæðenra þrym, grim gargewinn, þæt ðu gode swice, dryhtne þinum. Wes a domes georn;",84,61,23
925,935,andreas.txt,(925-935),(925-35),"The All-wielding God answered him: “You have never committed so a great sin as when you made refusal in Greece— saying that you did not know how to fare on the far-waves; that you could not enter that city— that you could not perform the task within the time-mark of three nights, as I ordered you to journey across the watery strife Now you know very well that I can easily support and promote any one of my friends in any land—wherever it pleases me most.","Him andswarode ealwalda god: ""No ðu swa swiðe synne gefremedest swa ðu in Achaia ondsæc dydest, ðæt ðu on feorwegas feran ne cuðe ne in þa ceastre becuman mehte, þing gehegan þreora nihta fyrstgemearces, swa ic þe feran het ofer wega gewinn. Wast nu þe gearwor þæt ic eaðe mæg anra gehwylcne fremman ond fyrþran freonda minra on landa gehwylc, þær me leofost bið.",86,64,22
735,742,andreas.txt,(735-742),(735-42),"“And then that wonder dared not conceal the Lord’s behest before that host, but leapt up from the wall, the wise and ancient work, so that he stood on the earth, stone out of stone. Its voice came thereafter, loud through the hardness, its speech resounded, reproaching them wordfully. It seemed curious to the stiff-purposed, the stone’s first act. It instructed the priests in clear signs, wittily it restrained them and spoke in words:","Ne dorste þa forhylman hælendes bebod wundor fore weorodum, ac of wealle ahleop, frod fyrngeweorc, þæt he on foldan stod, stan fram stane. Stefn æfter cwom, hlud þurh heardne, hleoðor dynede, wordum wemde. Wrætlic þuhte stiðhycgendum stanes ongin. Septe sacerdas sweotolum tacnum,",74,42,32
743,749,andreas.txt,(743-749),(743-49),"‘You are wretched among the miserable minds, deluded by wiles—you do not understand well, and are troubled in mind—you call the child of God Eternal a man, when he has delineated with his own hands the ground and sea, the heaven and earth and the stormy waves, the salty sea-currents and upper heaven.","witig werede ond worde cwæð: 'Ge synd unlæde, earmra geþohta searowum beswicene, oððe sel nyton, mode gemyrde. Ge mon cigað godes ece bearn, þone þe grund ond sund, heofon ond eorðan ond hreo wægas, salte sæstreamas ond swegl uppe",53,39,14
750,760,andreas.txt,(750-760),(750-60),"“This is the same All-Wielding God who your fathers knew in former days. He dispensed gifts to Abraham and Isaac and Jacob, honored them with wealth, and first spoke in words of noble Abraham’s destiny: that from his kin must be conceived the God of Glory. That event is open and manifest among you— you can now see with your own eyes the God of Victory, the Owner of Heaven.’","amearcode mundum sinum. þis is se ilca ealwalda god ðone on fyrndagum fæderas cuðon. He Abrahame ond Isace ond Iocobe gife bryttode, welum weorðode, wordum sægde ærest Habrahame æðeles geþingu, þæt of his cynne cenned sceolde weorðan wuldres god. Is seo wyrd mid eow open, orgete, magan eagum nu geseon sigores god, swegles agend.'",70,54,16
761,772,andreas.txt,(761-772),(761-72),"“After the host listened to these words throughout the wide hall, all were stunned, then the eldest soon began to speak sinfully— recognizing not the truth—they said that this was done with druid-craft, with magical works, that that bright stone spoke on behalf of men. Evil flourished through the breasts of men, a burning hot wickedness welled in their thought, a worm hostile to the fruit, a poison wholly malicious. There was evident the doubting mind through its harmful speech; these men’s mis-thoughts wrapped up in murder.","æfter þyssum wordum weorud hlosnode geond þæt side sel, (swigodon ealle), ða ða yldestan eft ongunnon secgan synfulle, (soð ne oncneowan), þæt hit drycræftum gedon wære, scingelacum, þæt se scyna stan mælde for mannum. Man wridode geond beorna breost, brandhata nið weoll on gewitte, weorm blædum fag, attor ælfæle. þær orcnawe wearð þurh teoncwide tweogende mod, mæcga misgehygd morðre bewunden.",87,60,27
773,785,andreas.txt,(773-785),(773-85),"“Then the Prince ordered this glory-work to travel, a stone onto the street from that place, and go forth, treading the earth-way, to the green lands of Canaan, to deliver the message of God by teaching within that country’s borders, to command by the King’s word Abraham and his two sons first to from their earth-grave, to lay down their land-rest and gather up their limbs, to take up their souls and youth-hood, and come forth into the present renewed, sage elder-prophets, and reveal to the people which God they had acknowledged for their might.","ða se þeoden bebead þryðweorc faran, stan on stræte of stedewange, ond forð gan foldweg tredan, grene grundas, godes ærendu larum lædan on þa leodmearce to Channaneum, cyninges worde beodan Habrahame mid his eaforum twæm of eorðscræfe ærest fremman, lætan landreste, leoðo gadrigean, gaste onfon ond geogoðhade, edniwinga andweard cuman, frode fyrnweotan, folce gecyðan, hwylcne hie god mihtum ongiten hæfdon.",95,60,35
786,799,andreas.txt,(786-799),(786-99),"It departed then, as the mighty Lord, the Sculptor of Men, had inscribed him, over the march-roads, until he arrived at Mambre, dazzling brightly, just as the Measurer had commanded him. There the body-homes, the corpses of the high-fathers, had been concealed for a long time. He ordered them to stand up at once, Abraham and Isaac and the third noble called Jacob, from the dirt into God’s destiny for them, swiftly from the sleep that bound them. He ordered them to gear up for the journey, to fare at the Lord’s decree. They had to reveal to those people who it had been at the first creation that arranged the all-greening Earth and the Upper-Heaven, where the Wielder was, that founded that work.","Gewat he þa feran, swa him frea mihtig, scyppend wera, gescrifen hæfde, ofer mearcpaðu, þæt he on Mambre becom beorhte blican, swa him bebead meotud, þær þa lichoman lange þrage, heahfædera hra, beheled wæron. Het þa ofstlice up astandan Habraham ond Isaac, æðeling þriddan Iacob of greote to godes geþinge, sneome of slæpe þæm fæstan. Het hie to þam siðe gyrwan, faran to frean dome. Sceoldon hie þam folce gecyðan hwa æt frumsceafte furðum teode eorðan eallgrene ond upheofon, hwær se wealdend wære þe þæt weorc staðolade.",124,87,37
800,809,andreas.txt,(800-809),(800-9),"“They dared not hinder any longer the Glory-King’s word. Then those three wit-full witnesses treaded the borderland, suffering their mould-home, their earth-grave, to remain open. They wished to make known at once the Father of First-works. Then the people became frightened with terror, wherever the noble men praised in words the Prince of Glory. At last the Guardian of Realms commanded them with goodwill to seek a second journey to the blessed weal, the joys of heaven, and after that to enjoy life there, to the width of life, at their will.","Ne dorston þa gelettan leng owihte wuldorcyninges word. Geweotan ða ða witigan þry modige mearcland tredan. Forlætan moldern wunigean open eorðscræfu, woldon hie ædre gecyðan frumweorca fæder. þa þæt folc gewearð egesan geaclod, þær þa æðelingas wordum weorðodon wuldres aldor. Hie ða ricene het rices hyrde to eadwelan oþre siðe secan mid sybbe swegles dreamas,",92,55,37
810,817,andreas.txt,(810-817),(810-7),"“Now you can hear, dearest lad, how he revealed a great number of miracles— however, mind-blinded men did not believe his own teachings. I know many very famous stories yet, which that man performed, the Ruler of the Skies— these even you, wise of mind-thought, could not consider or encompass in your breast.”","ond þæs to widan feore willum neotan. Nu ðu miht gehyran, hyse leofesta, hu he wundra worn wordum cyðde, swa þeah ne gelyfdon larum sinum modblinde menn. Ic wat manig nu gyt mycel mære spell ðe se maga fremede, rodera rædend, ða ðu aræfnan ne miht, hreðre behabban, hygeþances gleaw.""",53,50,3
818,821,andreas.txt,(818-821),(818-21),"Thus the whole long day Andrew praised the teaching of the Holy One in utterances, until sleep overcame him suddenly on the whale-road, beside the King of Heaven.","þus Andreas ondlangne dæg herede hleoðorcwidum haliges lare, oððæt hine semninga slæp ofereode on hronrade heofoncyninge neh.",28,17,11
